Name,Model,#Data,#Feat,Runtime
1069_bac,dt,128,36,0.0008289813995361328
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.000823974609375
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0007750988006591797
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009639263153076172
1069_bac,sgd,128,36,0.001435995101928711
1069_bac,dt,128,36,0.0008680820465087891
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0008130073547363281
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009779930114746094
1069_bac,sgd,128,36,0.001461029052734375
1069_bac,dt,128,36,0.0007910728454589844
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009582042694091797
1069_bac,sgd,128,36,0.001455068588256836
1069_bac,dt,128,36,0.0008099079132080078
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0008289813995361328
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.000823974609375
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0007750988006591797
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009639263153076172
1069_bac,sgd,128,36,0.001435995101928711
1069_bac,dt,128,36,0.0008680820465087891
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0008130073547363281
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009779930114746094
1069_bac,sgd,128,36,0.001461029052734375
1069_bac,dt,128,36,0.0007910728454589844
1069_bac,sgd,128,36,-1
1069_bac,dt,128,36,0.0009582042694091797
1069_bac,sgd,128,36,0.001455068588256836
1069_bac,dt,128,36,0.0008099079132080078
1069_bac,sgd,128,36,-1
1069_bac,dt,188,36,0.0008568763732910156
1069_bac,sgd,188,36,-1
1069_bac,dt,188,36,0.0008339881896972656
1069_bac,sgd,188,36,-1
1069_bac,dt,188,36,0.0008389949798583984
1069_bac,sgd,188,36,-1
1069_bac,dt,188,36,0.0011069774627685547
1069_bac,sgd,188,36,0.001589059829711914
1069_bac,dt,188,36,0.0008339881896972656
1069_bac,sgd,188,36,-1
1069_bac,dt,188,36,0.0011658668518066406
1069_bac,sgd,188,36,0.001589059829711914
1069_bac,dt,188,36,0.0010609626770019531
1069_bac,sgd,188,36,0.001589059829711914
1069_bac,dt,188,36,0.0008809566497802734
