,Dimensons,Dimensons,a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N))
,N,K,true,pred.,%diff,%uncertainity
1000_bac__rf,2502.0,53.0,0.0241,0.07030273182869963,191.71258020207318,79.92295697537216
1002_bac__rf,4964.0,253.0,0.0844,0.25868670814042416,206.50083902893857,6.848121354330658
1018_bac__rf,5866.0,277.0,0.0944,0.286300655971975,203.28459319065152,8.800529820915017
1019_bac__rf,7291.0,16.0,0.0628,0.19294105229645964,207.2309749943625,7.211339094587352
1020_bac__rf,1327.0,64.0,0.0546,0.11241060231818145,105.88022402597335,5.9231802864891385
1021_bac__rf,3630.0,10.0,0.0725,0.19644959764155503,170.96496226421385,6.738561331456421
1036_bac__rf,9548.0,216.0,0.217,0.6922564364577141,219.01218269940742,17.892232815779433
1040_bac__rf,9548.0,108.0,0.1328,0.4214133773550188,217.32935041793584,7.652253755794709
1041_bac__rf,2299.0,784.0,0.1371,0.38453498939679315,180.47774573070254,6.533938111814858
1049_bac__rf,967.0,37.0,0.0233,0.03830852016936666,64.41424965393415,2.2630898606734897
1050_bac__rf,1037.0,37.0,0.0279,0.05890451986758742,111.12731135335991,82.63546876449622
1053_bac__rf,7220.0,21.0,0.148,0.4835354218032936,226.7131228400633,7.26828058127281
1056_bac__rf,6279.0,38.0,0.0514,0.13446477114844685,161.60461312927401,6.854566628044439
1067_bac__rf,1399.0,21.0,0.0278,0.05353009582956244,92.55430154518864,4.702566756148185
1068_bac__rf,736.0,21.0,0.02,0.02894619391271508,44.73096956357539,2.268691972418173
1069_bac__rf,3707.0,36.0,0.0321,0.06832785054984657,112.8593475073102,5.550081918373029
1111_bac__rf,33165.0,57616.0,6.2182,16.16874933513789,160.022986316585,7.3048352127150835
1112_bac__rf,33165.0,57884.0,11.8259,32.66199930944211,176.19038981762154,5.704293393934881
1114_bac__rf,33165.0,57775.0,9.8302,30.226658154707604,207.48772308506037,5.816396364666577
1116_bac__rf,4376.0,266.0,0.2145,0.7798198230332491,263.55236505046577,7.618535993739026
