# Name,#Data,#Feat,Runtime
24_bac__rf,5389.0,117.0,0.0392991650105
901_bac__rf,27041.0,10.0,0.642862218499
991_bac__rf,1146.0,21.0,0.0160072267056
1053_bac__rf,7220.0,21.0,0.147979587317
806_bac__rf,664.0,50.0,0.0367127081156
897_bac__rf,770.0,69.0,0.017252605319
300_bac__rf,5172.0,617.0,1.18815036428
741_bac__rf,680.0,5.0,0.0146272944212
46_bac__rf,2116.0,285.0,0.0502086786032
1067_bac__rf,1399.0,21.0,0.0278456282616
797_bac__rf,664.0,50.0,0.035339654088
23_bac__rf,977.0,24.0,0.0199110447168
723_bac__rf,664.0,25.0,0.0284275096655
28_bac__rf,3728.0,64.0,0.071429571867
807_bac__rf,5434.0,8.0,0.1060163306
1130_bac__rf,1025.0,10935.0,0.920163862228
180_bac__rf,73223.0,93.0,1.97555236363
846_bac__rf,11010.0,18.0,0.171081155777
32_bac__rf,7291.0,16.0,0.113739308
995_bac__rf,1327.0,47.0,0.0406669578552
1068_bac__rf,736.0,21.0,0.0200459446907
1166_bac__rf,1025.0,10935.0,1.02130504704
36_bac__rf,1532.0,19.0,0.0343778918982
803_bac__rf,4729.0,5.0,0.0489745476246
1021_bac__rf,3630.0,10.0,0.0724731742144
816_bac__rf,5434.0,8.0,0.120877071023
1139_bac__rf,1025.0,10935.0,0.982221785665
727_bac__rf,27041.0,10.0,0.147331840038
1112_bac__rf,33165.0,57884.0,11.8258517163
881_bac__rf,27041.0,14.0,0.314255553126
31_bac__rf,664.0,61.0,0.0182645694017
30_bac__rf,3630.0,10.0,0.0780915905237
14_bac__rf,1327.0,76.0,0.0858917047977
979_bac__rf,3317.0,40.0,0.123933737874
6_bac__rf,13268.0,16.0,0.186862301826
1002_bac__rf,4964.0,253.0,0.0843743877411
971_bac__rf,1327.0,76.0,0.0441736773252
980_bac__rf,3728.0,64.0,0.0452428619862
799_bac__rf,664.0,5.0,0.0181359745264
977_bac__rf,13266.0,16.0,0.0894152197838
912_bac__rf,664.0,5.0,0.0177571387291
740_bac__rf,664.0,10.0,0.0214785394669
1146_bac__rf,1025.0,10935.0,0.448333799243
728_bac__rf,2687.0,7.0,0.0179053449631
823_bac__rf,13690.0,8.0,0.156967010736
1036_bac__rf,9548.0,216.0,0.216958625793
185_bac__rf,889.0,22.0,0.0217321913242
958_bac__rf,1532.0,19.0,0.02320385921
18_bac__rf,1327.0,6.0,0.0254784257412
837_bac__rf,664.0,50.0,0.0356475236416
21_bac__rf,1146.0,21.0,0.0165503940582
1041_bac__rf,2299.0,784.0,0.137147889256
1119_bac__rf,21597.0,108.0,0.35096091032
761_bac__rf,5434.0,21.0,0.120191823602
1018_bac__rf,5866.0,277.0,0.0943650387526
60_bac__rf,3318.0,40.0,0.141484287858
962_bac__rf,1327.0,6.0,0.0169571415186
12_bac__rf,1327.0,216.0,0.0811513874531
1111_bac__rf,33165.0,57616.0,6.2182298398
904_bac__rf,664.0,50.0,0.0357069535255
715_bac__rf,664.0,25.0,0.0282089805603
1116_bac__rf,4376.0,266.0,0.214547431707
821_bac__rf,15113.0,16.0,0.512864373326
1049_bac__rf,967.0,37.0,0.0232711954117
903_bac__rf,664.0,25.0,0.028498029232
720_bac__rf,2771.0,10.0,0.0458066745996
819_bac__rf,6313.0,6.0,0.0643298931122
959_bac__rf,8597.0,27.0,0.0362501541376
847_bac__rf,4360.0,14.0,0.0806940430403
26_bac__rf,8596.0,27.0,0.0566339886189
16_bac__rf,1327.0,64.0,0.0818834106922
554_bac__rf,46431.0,784.0,4.05808483326
978_bac__rf,1327.0,216.0,0.0480814526081
1161_bac__rf,1025.0,10935.0,0.936322361231
953_bac__rf,2116.0,285.0,0.0443777542114
1142_bac__rf,1025.0,10935.0,0.903455918908
913_bac__rf,664.0,10.0,0.0211964887381
57_bac__rf,2502.0,53.0,0.0250099905729
976_bac__rf,6607.0,14.0,0.120651625514
718_bac__rf,664.0,100.0,0.0464273782969
743_bac__rf,664.0,5.0,0.0179359443188
179_bac__rf,32397.0,124.0,0.622142180204
1050_bac__rf,1037.0,37.0,0.0279437083006
871_bac__rf,2553.0,5.0,0.0699462759495
679_bac__rf,681.0,2.0,0.0155052683353
1019_bac__rf,7291.0,16.0,0.0628433227539
1020_bac__rf,1327.0,64.0,0.0545578640699
930_bac__rf,864.0,83.0,0.0276724447012
182_bac__rf,4265.0,36.0,0.0987399538755
1138_bac__rf,1025.0,10935.0,1.07621857953
1120_bac__rf,12616.0,10.0,0.461024934888
923_bac__rf,5732.0,5.0,0.0330283561945
1040_bac__rf,9548.0,108.0,0.132792529225
1134_bac__rf,1025.0,10935.0,0.762592676044
734_bac__rf,9120.0,40.0,0.147060139894
934_bac__rf,767.0,39.0,0.0159658679962
751_bac__rf,664.0,10.0,0.0214355356693
752_bac__rf,5434.0,32.0,0.30340537405
735_bac__rf,5434.0,12.0,0.100966019511
866_bac__rf,664.0,50.0,0.0352821136713
3_bac__rf,2120.0,72.0,0.0253764480352
1114_bac__rf,33165.0,57775.0,9.83024354196
181_bac__rf,982.0,8.0,0.0216606625319
22_bac__rf,1327.0,47.0,0.0695929348469
843_bac__rf,15113.0,8.0,0.263345146656
993_bac__rf,4655.0,664.0,0.110451215029
914_bac__rf,1327.0,1.0,0.014188822031
822_bac__rf,13690.0,8.0,0.227272424102
1000_bac__rf,2502.0,53.0,0.0241064192057
833_bac__rf,5434.0,32.0,0.243230538726
38_bac__rf,2502.0,54.0,0.0263711640835
1128_bac__rf,1025.0,10935.0,0.937411861777
845_bac__rf,664.0,10.0,0.0215244829655
772_bac__rf,1445.0,3.0,0.0270127574205
184_bac__rf,18610.0,40.0,0.260934599638
966_bac__rf,889.0,22.0,0.0207671000957
1069_bac__rf,3707.0,36.0,0.0321338709593
1056_bac__rf,6279.0,38.0,0.0514388502836
849_bac__rf,664.0,25.0,0.0283922848701
737_bac__rf,2061.0,6.0,0.0414774918556
813_bac__rf,664.0,5.0,0.0180455561876
722_bac__rf,9950.0,48.0,0.0982487354279
44_bac__rf,3052.0,57.0,0.0565989044905
