# #Data,#Feat,Runtime
128,76,0.005825
148,76,0.006984
175,76,0.008418
201,76,0.009770
228,76,0.011460
255,76,0.013087
282,76,0.014637
309,76,0.017057
335,76,0.018607
362,76,0.020180
389,76,0.022444
416,76,0.024564
443,76,0.026214
469,76,0.028291
496,76,0.030857
523,76,0.033594
550,76,0.034891
577,76,0.037800
603,76,0.040417
630,76,0.042054
657,76,0.045537
684,76,0.047326
711,76,0.049373
738,76,0.052255
764,76,0.054588
791,76,0.057570
818,76,0.060560
845,76,0.063557
871,76,0.065808
898,76,0.068859
925,76,0.070927
952,76,0.073083
979,76,0.076485
1005,76,0.079574
1032,76,0.081524
1059,76,0.083374
1086,76,0.086158
1113,76,0.090970
1139,76,0.094520
1166,76,0.097133
1193,76,0.098817
1220,76,0.100293
1247,76,0.103959
1273,76,0.106397
1300,76,0.109582
1327,76,0.113426
