# #Data,#Feat,Runtime
128,5,0.012293
141,5,0.012440
155,5,0.012551
168,5,0.012657
181,5,0.012775
195,5,0.012869
208,5,0.012983
222,5,0.013149
235,5,0.013266
248,5,0.013344
262,5,0.013571
275,5,0.014169
289,5,0.013798
302,5,0.013948
315,5,0.014056
329,5,0.014200
342,5,0.014335
356,5,0.014486
369,5,0.014652
382,5,0.014767
396,5,0.014890
409,5,0.015012
423,5,0.015184
436,5,0.015298
449,5,0.015406
463,5,0.015627
476,5,0.015785
490,5,0.015917
503,5,0.016077
516,5,0.016298
530,5,0.016498
543,5,0.016653
557,5,0.016772
570,5,0.016900
583,5,0.017053
597,5,0.017214
610,5,0.017414
624,5,0.017549
637,5,0.017692
650,5,0.017896
664,5,0.018046
