# #Data,#Feat,Runtime
740,93,0.021189
2219,93,0.060513
3699,93,0.101098
5178,93,0.141043
6657,93,0.182886
8136,93,0.223145
9616,93,0.263626
11095,93,0.304032
12574,93,0.348231
14053,93,0.398267
15533,93,0.452514
17012,93,0.504594
18491,93,0.590081
19970,93,0.639078
21449,93,0.776333
22929,93,0.833383
24408,93,0.938867
25887,93,1.025375
27366,93,1.131980
28846,93,1.247503
30325,93,1.334344
31804,93,1.416663
33283,93,1.482415
34763,93,1.580658
36242,93,1.652462
37721,93,1.730134
39200,93,1.820491
40680,93,1.885071
42159,93,1.953862
43638,93,2.045221
45117,93,2.091355
46597,93,2.187438
48076,93,2.264398
49555,93,2.343072
51034,93,2.422001
52514,93,2.507079
53993,93,2.590976
55472,93,2.657234
56951,93,2.729535
58430,93,2.820382
59910,93,2.883515
61389,93,2.982537
62868,93,3.040741
64347,93,3.131482
65827,93,3.204381
67306,93,3.294643
68785,93,3.352771
70264,93,3.442692
71744,93,3.516444
73223,93,3.595399
