# #Data,#Feat,Runtime
335,57616,0.015849
1005,57616,0.033580
1675,57616,0.058103
2345,57616,0.084727
3015,57616,0.115551
3685,57616,0.144945
4355,57616,0.168367
5025,57616,0.194058
5695,57616,0.232069
6365,57616,0.254955
7035,57616,0.272127
7705,57616,0.314560
8375,57616,0.344353
9045,57616,0.376847
9715,57616,0.394760
10385,57616,0.439153
11055,57616,0.463875
11725,57616,0.497787
12395,57616,0.529146
13065,57616,0.545935
13735,57616,0.584004
14405,57616,0.632450
15075,57616,0.648061
15745,57616,0.716650
16415,57616,0.757134
17085,57616,0.756490
17755,57616,0.756815
18425,57616,0.782259
19095,57616,0.843459
19765,57616,0.874146
20435,57616,0.943811
21105,57616,1.003312
21775,57616,1.104573
22445,57616,1.183602
23115,57616,1.056123
23785,57616,1.177954
24455,57616,1.078952
25125,57616,1.146235
25795,57616,1.150103
26465,57616,1.337056
27135,57616,1.214201
27805,57616,1.453942
28475,57616,1.545716
29145,57616,1.542879
29815,57616,1.676569
30485,57616,1.956435
31155,57616,1.787389
31825,57616,1.841682
32495,57616,1.827722
33165,57616,1.636283
