# #Data,#Feat,Runtime
128,11465,0.029464
225,11465,0.057741
374,11465,0.109850
524,11465,0.168044
674,11465,0.239830
823,11465,0.312107
973,11465,0.390485
1122,11465,0.479350
1272,11465,0.566297
1421,11465,0.661127
1571,11465,0.757050
1720,11465,0.865784
1870,11465,0.978620
2020,11465,1.088380
2169,11465,1.206018
2319,11465,1.322136
2468,11465,1.458847
2618,11465,1.597655
2767,11465,1.730349
2917,11465,1.872275
3066,11465,2.023747
3216,11465,2.191543
3366,11465,2.366571
3515,11465,2.492049
3665,11465,2.629329
3814,11465,2.787092
3964,11465,2.959797
4113,11465,3.106074
4263,11465,3.303499
4413,11465,3.506033
4562,11465,3.625488
4712,11465,3.825676
4861,11465,4.002292
5011,11465,4.218392
5160,11465,4.435901
5310,11465,4.586680
5459,11465,4.749200
5609,11465,5.045211
5759,11465,5.144199
5908,11465,5.248511
6058,11465,5.514092
6207,11465,5.688673
6357,11465,5.889413
6506,11465,6.141863
6656,11465,6.303510
6805,11465,6.482188
6955,11465,6.618992
7105,11465,6.844380
7254,11465,7.043201
7404,11465,7.349485
