# #Data,#Feat,Runtime
128,3182,0.019122
142,3182,0.019828
155,3182,0.020484
168,3182,0.021256
182,3182,0.022092
195,3182,0.022706
209,3182,0.023570
222,3182,0.024365
236,3182,0.025108
249,3182,0.025752
263,3182,0.026764
276,3182,0.027379
289,3182,0.028045
303,3182,0.028979
316,3182,0.029471
330,3182,0.030369
343,3182,0.030986
357,3182,0.031842
370,3182,0.032437
384,3182,0.033052
397,3182,0.033821
410,3182,0.034317
424,3182,0.035179
437,3182,0.035766
451,3182,0.036752
464,3182,0.037139
478,3182,0.037930
491,3182,0.038623
504,3182,0.039086
518,3182,0.039910
531,3182,0.040504
545,3182,0.040934
558,3182,0.042250
572,3182,0.042043
585,3182,0.042286
599,3182,0.042837
612,3182,0.043171
625,3182,0.043376
639,3182,0.044060
652,3182,0.044586
666,3182,0.044748
