# #Data,#Feat,Runtime
128,3182,0.008598
142,3182,0.008952
155,3182,0.009256
168,3182,0.009594
182,3182,0.009898
195,3182,0.010269
209,3182,0.010563
222,3182,0.010874
236,3182,0.011188
249,3182,0.011510
263,3182,0.011864
276,3182,0.012213
289,3182,0.012496
303,3182,0.012855
316,3182,0.013157
330,3182,0.013595
343,3182,0.013988
357,3182,0.014330
370,3182,0.014666
384,3182,0.015066
397,3182,0.015336
410,3182,0.015763
424,3182,0.016149
437,3182,0.016558
451,3182,0.016874
464,3182,0.017208
478,3182,0.017662
491,3182,0.018028
504,3182,0.018393
518,3182,0.018782
531,3182,0.019158
545,3182,0.019589
558,3182,0.019825
572,3182,0.020212
585,3182,0.020659
599,3182,0.021076
612,3182,0.021415
625,3182,0.021727
639,3182,0.022187
652,3182,0.022608
666,3182,0.022927
