,Dimensons,Dimensons,a + bN,a + bN,a + bN,a + bN
,N,K,true,pred.,%diff,%uncertainity
1000_bac__sgd,2502.0,53.0,0.009,0.008774349518085298,-2.507227576830019,1.8633009105766618
1002_bac__sgd,4964.0,253.0,0.0691,0.06298654838382507,-8.8472527006873,1.9938547708206023
1018_bac__sgd,5866.0,277.0,0.0906,0.07903950130068126,-12.759932339203912,1.8315868441981378
1019_bac__sgd,7291.0,16.0,0.0124,0.011639173620651236,-6.135696607651318,12.254238323002827
1020_bac__sgd,1327.0,64.0,0.0057,0.005633155190383899,-1.1727159581772197,3.1165047936141304
1021_bac__sgd,3630.0,10.0,0.006,0.005833068895537903,-2.7821850743682885,24.225596017105396
1036_bac__sgd,9548.0,216.0,0.1108,0.09740893596466126,-12.085797865829187,1.321274394320378
1040_bac__sgd,9548.0,108.0,0.0576,0.052555425988323974,-8.757940992493097,2.534911389954621
1041_bac__sgd,2299.0,784.0,0.5198,0.48824269475359244,-6.071047565680568,0.39597307297724693
1049_bac__sgd,967.0,37.0,0.0036,0.003337841851417893,-7.282170793947413,6.611322596115438
1050_bac__sgd,1037.0,37.0,0.0038,0.003925660782089001,3.3068626865526656,5.705458938381504
1053_bac__sgd,7220.0,21.0,0.0169,0.01595906718376998,-5.567649800177631,11.154843684261497
1056_bac__sgd,6279.0,38.0,0.0164,0.016587249037658874,1.1417624247492255,11.947358968585121
1067_bac__sgd,1399.0,21.0,0.0038,0.0038390217038611315,1.026886943713986,4.501760045331013
1068_bac__sgd,736.0,21.0,0.0024,0.002465849961522441,2.7437483967683876,7.422284819177834
1069_bac__sgd,3707.0,36.0,0.0096,0.009670013147817949,0.7293036231036414,24.250803151250018
1111_bac__sgd,33165.0,57616.0,1.6363,1.3262314122711245,-18.949372836819382,1.5957205054439982
1112_bac__sgd,33165.0,57884.0,1.7518,1.3606690507921144,-22.327374655091084,2.3639734696636547
1114_bac__sgd,33165.0,57775.0,1.6218,1.3331977089573004,-17.79518381074729,2.9154887410437307
1116_bac__sgd,4376.0,266.0,0.0532,0.050220293371796176,-5.600952308653799,9.53428887391426
1119_bac__sgd,21597.0,108.0,0.1861,0.1363139560536354,-26.75230733281279,1.0221050003025094
1120_bac__sgd,12616.0,10.0,0.0215,0.020146331587719703,-6.29613215014091,5.90712652113085
1128_bac__sgd,1025.0,10935.0,0.6014,0.5236035197638587,-12.93589628136704,2.2034207599821847
1130_bac__sgd,1025.0,10935.0,0.5874,0.5211323720693832,-11.28151650163718,3.232297286644172
1134_bac__sgd,1025.0,10935.0,0.5885,0.5226469300330279,-11.189986400505038,1.768105811533341
1138_bac__sgd,1025.0,10935.0,0.5994,0.5329277708604767,-11.08979465123846,1.4431435381865567
1139_bac__sgd,1025.0,10935.0,0.5949,0.5275099610846746,-11.327960819520147,2.3706737039705046
1142_bac__sgd,1025.0,10935.0,0.5901,0.5217565139065795,-11.581678714356965,1.9046843521346375
1146_bac__sgd,1025.0,10935.0,0.5865,0.519632121528145,-11.401172799975285,2.0227749665365287
1161_bac__sgd,1025.0,10935.0,0.5974,0.5353734132965323,-10.382756394956097,1.3137891229738505
1166_bac__sgd,1025.0,10935.0,0.6046,0.5362824155008158,-11.299633559243174,1.3309625115436001
12_bac__sgd,1327.0,216.0,0.0888,0.08913021120085869,0.37185946042645013,0.43910392434569095
14_bac__sgd,1327.0,76.0,0.0404,0.03821062151843757,-5.419253667233732,0.847398498709553
16_bac__sgd,1327.0,64.0,0.0347,0.032868258429819316,-5.278794150376614,0.5686048475871267
179_bac__sgd,32397.0,124.0,0.351,0.2331127598337251,-33.586108309480025,0.7261174021916047
180_bac__sgd,73223.0,93.0,3.5954,2.1519929537489553,-40.14593776077891,3.076792682539436
181_bac__sgd,982.0,8.0,0.0113,0.011391863230862222,0.8129489456833873,2.9673956285839806
182_bac__sgd,4265.0,36.0,0.0497,0.04716888297811289,-5.09279078850525,4.344263638003487
184_bac__sgd,18610.0,40.0,0.6954,0.6768066558502979,-2.6737624604115835,0.2930049139097858
185_bac__sgd,889.0,22.0,0.005,0.004660026648398519,-6.799467032029618,3.7969977103463046
18_bac__sgd,1327.0,6.0,0.0134,0.013166675061976484,-1.7412308807725114,1.6037427024422624
21_bac__sgd,1146.0,21.0,0.0075,0.007562157800049365,0.8287706673248731,2.7381014365753473
22_bac__sgd,1327.0,47.0,0.03,0.02861513393736975,-4.6162202087675,1.1223526279613896
23_bac__sgd,977.0,24.0,0.0069,0.006889185319646529,-0.15673449787639265,3.043197227300541
24_bac__sgd,5389.0,117.0,0.033,0.03160177674393308,-4.237040169899762,4.755712737295373
26_bac__sgd,8596.0,27.0,0.0715,0.061389831207448155,-14.140096213359216,2.873113274826262
28_bac__sgd,3728.0,64.0,0.0958,0.09459253244217652,-1.2604045488762754,3.023514882943001
300_bac__sgd,5172.0,617.0,2.3778,2.164205270859767,-8.982871946346755,0.3417623112545763
30_bac__sgd,3630.0,10.0,0.0198,0.020321258009371634,2.6326162089476366,7.808795181074576
31_bac__sgd,664.0,61.0,0.004,0.003686940793274574,-7.826480168135648,5.108629140175521
32_bac__sgd,7291.0,16.0,0.0893,0.08159800138886789,-8.624858467113235,3.472625302677369
36_bac__sgd,1532.0,19.0,0.0147,0.014433731447244701,-1.811350699015634,1.0962560090790343
38_bac__sgd,2502.0,54.0,0.0088,0.00848717204010559,-3.5548631806182995,2.2115601691992843
3_bac__sgd,2120.0,72.0,0.0098,0.009851170600637687,0.5221489860988454,1.94762253765431
44_bac__sgd,3052.0,57.0,0.012,0.012165202431118155,1.376686925984623,12.027659655809124
46_bac__sgd,2116.0,285.0,0.064,0.060139396988601074,-6.032192205310825,0.35353989956977333
554_bac__sgd,46431.0,784.0,11.8764,11.552805449438958,-2.724685515484844,0.6644045921020838
57_bac__sgd,2502.0,53.0,0.0247,0.020498863138452936,-17.008651261324147,7.703588733428846
60_bac__sgd,3318.0,40.0,0.0244,0.025135375907799472,3.0138356877027497,6.999629482083841
679_bac__sgd,681.0,2.0,0.0038,0.003743567853547715,-1.4850564855864505,7.414710386467746
6_bac__sgd,13268.0,16.0,0.4124,0.4006955180436075,-2.838138204750851,1.3597119282244556
715_bac__sgd,664.0,25.0,0.0027,0.0026789053433347214,-0.7812835801955083,8.26794223799768
718_bac__sgd,664.0,100.0,0.0054,0.00575774642217252,6.6249337439355545,13.097546022652764
